"","mean","sd","2.5%","97.5%","n_eff","Rhat"
"Intercept",35.0809206685079,3.46431615086104,28.3052183646128,42.0619754456455,3249.77020123416,1.00123159686256
"b_TROP",1.09065505838785,3.70046334536007,-6.04755039519473,8.39865714032484,4451.32928180321,1.00129514962687
"b_CT",6.77953852180184,3.35162730163831,0.185362813267835,13.430263921346,6147.8839546153,1.00023533506708
"b_DD",-1.12438274857548,3.33543877334582,-7.57625546620591,5.30004840784193,4464.08246962985,1.00137777943758
"b_IC",-6.32093985406716,3.38791781524063,-12.9181055594367,0.449462093395622,6290.42775799342,1.00044619289311
"b_MI",-2.54414461364423,3.81042474024416,-10.0831178910563,4.82965068827715,4125.737674686,1.00128142688962
"b_PC",-7.31833953138637,3.43383413090358,-14.1367434122121,-0.638358415300444,5139.3142856681,1.00013192626103
"b_SS",2.83700996509737,3.48100653202628,-4.11877995181667,9.54399392522389,6068.46403812385,1.00018302078064
"b_SP",3.45321398564786,3.54823060398863,-3.41119545624303,10.4596534377127,5457.00552749826,0.99984901634649
"b_P2",12.2601095549134,4.08408422310929,4.34012675513426,20.1674035882794,5529.93471303196,1.00000076907766
"b_P3",5.89516216864622,3.79876670811487,-1.51158173237708,13.2484893155976,4535.29188421912,1.00077960885709
"b_P4",6.38205911944465,3.58864742956139,-0.676841378402305,13.486960290851,3694.98765330388,1.00140758303508
"b_P5",-5.763907011932,3.41503862100926,-12.4164471428715,0.756072373249367,3404.31274813945,1.0013665485796
"b_P6",-20.3333291894013,3.25917576453358,-26.6528988473087,-14.0297437015945,3419.94499653676,1.00091867233303
"b_P7",-31.2067460603506,3.3363020092074,-37.7924451393616,-24.6666688642537,4019.06195831799,1.00047481890222
"b_TROP_X_CT",6.57119263934883,5.9309312894194,-5.09169944052302,18.2265482391244,7303.78871970695,1.00011591902685
"b_TROP_X_DD",2.00689181507578,6.25217794682127,-10.7632402423328,14.3480926212574,6605.98848180209,1.00122537388016
"b_TROP_X_IC",-0.361208554818201,5.94053529672196,-12.1037716938028,11.2700456162635,7294.7443123051,1.00018158032212
"b_TROP_X_MI",-2.48865824063713,5.45026183782313,-13.1454433379833,7.99767882408011,4294.33682223847,1.0011454738789
"b_TROP_X_PC",-5.00101948130605,6.25242040660402,-17.317923652545,7.35699797200439,8594.27962860025,1.00013138663998
"b_TROP_X_SS",-3.20676454683957,5.71264557104421,-14.4502286179907,7.86678959614625,6768.2641197877,1.00039136773842
"b_TROP_X_SP",2.18671532090626,5.52508706130932,-8.59653268796991,12.902053182922,6613.06223374365,1.0006298857626
"v_Intercept[1]",0.656032524656053,1.71547699241155,-1.82847734408863,5.31576653831281,1553.01544722148,1.0009718879845
"v_Intercept[2]",-0.0618545597485717,1.58341234056041,-3.46634291332903,3.30716603390633,9196.20415936156,1.00003290922248
"v_Intercept[3]",0.562481223180443,1.37328592500699,-1.66669558102077,4.08801148042396,1979.20081674454,1.00051113060268
"v_Intercept[4]",-0.697181885404085,1.804684016484,-5.78705758626423,1.88308249219935,1893.78986981706,1.00163797042519
"v_Intercept[5]",0.339967633440052,1.28981352694261,-1.94773810367906,3.5858875874615,3516.30200492618,1.00019451144145
"v_Intercept[6]",0.0199513794923066,1.23643846781097,-2.5573856340332,2.80669655714949,8001.31889482534,1.00067712176609
"v_Intercept[7]",-0.374425672562665,1.37893604560417,-3.98863389866227,2.06707618059496,4222.00675952978,1.00046384030867
"v_Intercept[8]",0.411863740924657,1.61103232050668,-2.33363109249401,4.6340697907115,3001.56171366528,1.00073344617907
"v_Intercept[9]",0.592198422043764,1.87623957044344,-2.18211995516456,5.63275137711853,1916.84691900972,1.00103819380178
"v_Intercept[10]",0.353717521799293,1.56075947229485,-2.41530223821639,4.27006516310561,4484.04108078739,0.999901880314373
"v_Intercept[11]",-0.16603192244519,1.20486989878432,-2.8972742563375,2.25186050469518,8286.44667305532,0.999826616023433
"v_Intercept[12]",-0.615664021515736,1.64488369329429,-4.95274995819616,1.89309826964614,1819.40611393915,1.00210843684857
"sigma_TAXON",1.31081348584484,1.13927774017417,0.125739241017486,4.32867454861264,453.328160344198,1.00485269516509
"sigma",36.6524194788394,0.643849091739942,35.404685905732,37.9513643211588,11434.3220084622,1.00030129751078
